"","country","country_code","longitude","latitude","sex","age_group","population","cGDP","generation_level","suicide_tendency"
"75","Albania","AL",20.168331,41.153332,"female",6,40800,835,2,"Low"
"76","Albania","AL",20.168331,41.153332,"female",2,283500,835,3,"Low"
"77","Albania","AL",20.168331,41.153332,"male",2,241200,835,3,"Low"
"78","Albania","AL",20.168331,41.153332,"male",6,25100,835,2,"Low"
"79","Albania","AL",20.168331,41.153332,"male",4,375900,835,1,"Low"
"80","Albania","AL",20.168331,41.153332,"female",3,264000,835,3,"Low"
"81","Albania","AL",20.168331,41.153332,"female",4,356400,835,1,"Low"
"82","Albania","AL",20.168331,41.153332,"male",1,376500,835,5,"Low"
"83","Albania","AL",20.168331,41.153332,"female",5,180400,835,6,"Low"
"84","Albania","AL",20.168331,41.153332,"female",1,348700,835,5,"Low"
"85","Albania","AL",20.168331,41.153332,"male",6,25400,1127,2,"Low"
"86","Albania","AL",20.168331,41.153332,"male",2,243600,1127,3,"Low"
"87","Albania","AL",20.168331,41.153332,"male",3,235300,1127,3,"Low"
"88","Albania","AL",20.168331,41.153332,"female",2,287700,1127,3,"Low"
"89","Albania","AL",20.168331,41.153332,"female",6,41200,1127,2,"Low"
"90","Albania","AL",20.168331,41.153332,"female",3,267900,1127,3,"Low"
"91","Albania","AL",20.168331,41.153332,"male",4,379600,1127,1,"Low"
"92","Albania","AL",20.168331,41.153332,"female",4,362000,1127,1,"Low"
"93","Albania","AL",20.168331,41.153332,"male",5,179900,1127,6,"Low"
"94","Albania","AL",20.168331,41.153332,"female",5,183100,1127,6,"Low"
"95","Albania","AL",20.168331,41.153332,"male",1,380400,1127,5,"Low"
"96","Albania","AL",20.168331,41.153332,"female",1,354100,1127,5,"Low"
"97","Albania","AL",20.168331,41.153332,"male",3,236000,793,3,"High"
"98","Albania","AL",20.168331,41.153332,"male",2,244400,793,3,"High"
"99","Albania","AL",20.168331,41.153332,"male",6,25400,793,2,"Low"
"100","Albania","AL",20.168331,41.153332,"male",4,380800,793,1,"Low"
"101","Albania","AL",20.168331,41.153332,"female",2,294000,793,3,"Low"
"102","Albania","AL",20.168331,41.153332,"male",5,180300,793,6,"Low"
"103","Albania","AL",20.168331,41.153332,"female",3,273900,793,3,"Low"
"104","Albania","AL",20.168331,41.153332,"female",6,42100,793,2,"Low"
"105","Albania","AL",20.168331,41.153332,"female",4,370100,793,1,"Low"
"106","Albania","AL",20.168331,41.153332,"female",1,361800,793,5,"Low"
"107","Albania","AL",20.168331,41.153332,"male",1,381500,793,5,"Low"
"108","Albania","AL",20.168331,41.153332,"female",5,187000,793,6,"Low"
"109","Albania","AL",20.168331,41.153332,"male",6,25800,899,2,"Low"
"110","Albania","AL",20.168331,41.153332,"male",2,248800,899,3,"Low"
"111","Albania","AL",20.168331,41.153332,"female",2,295600,899,3,"Low"
"112","Albania","AL",20.168331,41.153332,"male",3,240400,899,3,"Low"
"113","Albania","AL",20.168331,41.153332,"male",4,388200,899,1,"Low"
"114","Albania","AL",20.168331,41.153332,"male",5,183800,899,6,"Low"
"115","Albania","AL",20.168331,41.153332,"female",3,275300,899,3,"Low"
"116","Albania","AL",20.168331,41.153332,"female",5,188200,899,6,"Low"
"117","Albania","AL",20.168331,41.153332,"female",4,372100,899,1,"Low"
"118","Albania","AL",20.168331,41.153332,"male",1,388400,899,5,"Low"
"119","Albania","AL",20.168331,41.153332,"female",1,363800,899,5,"Low"
"120","Albania","AL",20.168331,41.153332,"female",6,42300,899,2,"Low"
"121","Albania","AL",20.168331,41.153332,"male",6,25900,1127,2,"Low"
"122","Albania","AL",20.168331,41.153332,"male",2,250600,1127,3,"Low"
"123","Albania","AL",20.168331,41.153332,"female",6,42400,1127,2,"Low"
"124","Albania","AL",20.168331,41.153332,"male",4,391100,1127,1,"Low"
"125","Albania","AL",20.168331,41.153332,"male",3,242300,1127,3,"Low"
"126","Albania","AL",20.168331,41.153332,"male",5,185200,1127,6,"Low"
"127","Albania","AL",20.168331,41.153332,"female",2,296800,1127,3,"Low"
"128","Albania","AL",20.168331,41.153332,"female",3,276500,1127,3,"Low"
"129","Albania","AL",20.168331,41.153332,"female",5,188800,1127,6,"Low"
"130","Albania","AL",20.168331,41.153332,"female",4,373600,1127,1,"Low"
"131","Albania","AL",20.168331,41.153332,"female",1,365200,1127,5,"Low"
"132","Albania","AL",20.168331,41.153332,"male",1,391300,1127,5,"Low"
"133","Albania","AL",20.168331,41.153332,"male",3,232000,1299,3,"Low"
"134","Albania","AL",20.168331,41.153332,"male",5,177400,1299,6,"Low"
"135","Albania","AL",20.168331,41.153332,"female",6,37800,1299,2,"Low"
"136","Albania","AL",20.168331,41.153332,"male",6,24900,1299,2,"Low"
"137","Albania","AL",20.168331,41.153332,"female",2,263900,1299,3,"Low"
"138","Albania","AL",20.168331,41.153332,"male",2,240000,1299,3,"Low"
"139","Albania","AL",20.168331,41.153332,"female",4,332200,1299,1,"Low"
"140","Albania","AL",20.168331,41.153332,"female",3,245800,1299,3,"Low"
"141","Albania","AL",20.168331,41.153332,"male",4,374700,1299,1,"Low"
"142","Albania","AL",20.168331,41.153332,"male",1,374900,1299,5,"Low"
"143","Albania","AL",20.168331,41.153332,"female",1,324700,1299,5,"Low"
"144","Albania","AL",20.168331,41.153332,"female",5,168000,1299,6,"Low"
"145","Albania","AL",20.168331,41.153332,"male",3,206484,1451,3,"Low"
"146","Albania","AL",20.168331,41.153332,"male",4,378826,1451,1,"Low"
"147","Albania","AL",20.168331,41.153332,"male",5,196670,1451,6,"Low"
"148","Albania","AL",20.168331,41.153332,"female",6,47254,1451,6,"Low"
"149","Albania","AL",20.168331,41.153332,"male",2,256039,1451,5,"Low"
"150","Albania","AL",20.168331,41.153332,"female",2,271359,1451,5,"Low"
"151","Albania","AL",20.168331,41.153332,"female",4,370191,1451,1,"Low"
"152","Albania","AL",20.168331,41.153332,"male",6,31044,1451,6,"Low"
"153","Albania","AL",20.168331,41.153332,"female",5,189799,1451,6,"Low"
"154","Albania","AL",20.168331,41.153332,"male",1,321556,1451,5,"Low"
"155","Albania","AL",20.168331,41.153332,"female",3,222771,1451,3,"Low"
"156","Albania","AL",20.168331,41.153332,"female",1,307356,1451,5,"Low"
"157","Albania","AL",20.168331,41.153332,"male",6,31007,1573,6,"High"
"158","Albania","AL",20.168331,41.153332,"male",3,206286,1573,3,"Low"
"159","Albania","AL",20.168331,41.153332,"male",4,382139,1573,1,"Low"
"160","Albania","AL",20.168331,41.153332,"male",5,198130,1573,6,"Low"
"161","Albania","AL",20.168331,41.153332,"male",2,263067,1573,5,"Low"
"162","Albania","AL",20.168331,41.153332,"female",2,275970,1573,5,"Low"
"163","Albania","AL",20.168331,41.153332,"female",4,375113,1573,1,"Low"
"164","Albania","AL",20.168331,41.153332,"female",3,223685,1573,3,"Low"
"165","Albania","AL",20.168331,41.153332,"female",6,47407,1573,6,"Low"
"166","Albania","AL",20.168331,41.153332,"female",5,191712,1573,6,"Low"
"167","Albania","AL",20.168331,41.153332,"female",1,304850,1573,5,"Low"
"168","Albania","AL",20.168331,41.153332,"male",1,319473,1573,5,"Low"
"169","Albania","AL",20.168331,41.153332,"female",6,49088,2021,6,"Low"
"170","Albania","AL",20.168331,41.153332,"male",5,201520,2021,6,"Low"
"171","Albania","AL",20.168331,41.153332,"male",4,386196,2021,1,"Low"
"172","Albania","AL",20.168331,41.153332,"male",2,273235,2021,5,"Low"
"173","Albania","AL",20.168331,41.153332,"female",2,283709,2021,5,"Low"
"174","Albania","AL",20.168331,41.153332,"female",5,195699,2021,6,"Low"
"175","Albania","AL",20.168331,41.153332,"male",3,205433,2021,3,"Low"
"176","Albania","AL",20.168331,41.153332,"female",3,222941,2021,3,"Low"
"177","Albania","AL",20.168331,41.153332,"female",4,381760,2021,1,"Low"
"178","Albania","AL",20.168331,41.153332,"male",6,32667,2021,6,"Low"
"179","Albania","AL",20.168331,41.153332,"male",1,313204,2021,5,"Low"
"180","Albania","AL",20.168331,41.153332,"female",1,298477,2021,5,"Low"
"181","Albania","AL",20.168331,41.153332,"male",6,35526,2544,6,"Low"
"182","Albania","AL",20.168331,41.153332,"male",4,391767,2544,1,"Low"
"183","Albania","AL",20.168331,41.153332,"male",3,203938,2544,3,"Low"
"184","Albania","AL",20.168331,41.153332,"female",2,292268,2544,5,"Low"
"185","Albania","AL",20.168331,41.153332,"male",2,286768,2544,5,"Low"
"186","Albania","AL",20.168331,41.153332,"female",6,50970,2544,6,"Low"
"187","Albania","AL",20.168331,41.153332,"female",3,222389,2544,3,"Low"
"188","Albania","AL",20.168331,41.153332,"male",5,207202,2544,6,"Low"
"189","Albania","AL",20.168331,41.153332,"female",4,391436,2544,1,"Low"
"190","Albania","AL",20.168331,41.153332,"female",5,203841,2544,6,"Low"
"191","Albania","AL",20.168331,41.153332,"female",1,286705,2544,5,"Low"
"192","Albania","AL",20.168331,41.153332,"male",1,302181,2544,5,"Low"
"193","Albania","AL",20.168331,41.153332,"female",2,281922,2931,5,"Low"
"194","Albania","AL",20.168331,41.153332,"female",3,190745,2931,3,"Low"
"195","Albania","AL",20.168331,41.153332,"female",4,386513,2931,1,"Low"
"196","Albania","AL",20.168331,41.153332,"female",1,276559,2931,5,"Low"
"197","Albania","AL",20.168331,41.153332,"female",5,210998,2931,6,"Low"
"198","Albania","AL",20.168331,41.153332,"female",6,53191,2931,6,"Low"
"199","Albania","AL",20.168331,41.153332,"male",2,281675,2931,5,"Low"
"200","Albania","AL",20.168331,41.153332,"male",3,177519,2931,3,"Low"
"201","Albania","AL",20.168331,41.153332,"male",4,380242,2931,1,"Low"
"202","Albania","AL",20.168331,41.153332,"male",1,291367,2931,5,"Low"
"203","Albania","AL",20.168331,41.153332,"male",5,214118,2931,6,"Low"
"204","Albania","AL",20.168331,41.153332,"male",6,38471,2931,6,"Low"
"205","Albania","AL",20.168331,41.153332,"female",2,283138,3235,5,"Low"
"206","Albania","AL",20.168331,41.153332,"female",3,186391,3235,3,"Low"
"207","Albania","AL",20.168331,41.153332,"female",4,388746,3235,1,"Low"
"208","Albania","AL",20.168331,41.153332,"female",1,267316,3235,5,"Low"
"209","Albania","AL",20.168331,41.153332,"female",5,215907,3235,6,"Low"
"210","Albania","AL",20.168331,41.153332,"female",6,56011,3235,6,"Low"
"211","Albania","AL",20.168331,41.153332,"male",2,286679,3235,5,"Low"
"212","Albania","AL",20.168331,41.153332,"male",3,174092,3235,3,"Low"
"213","Albania","AL",20.168331,41.153332,"male",4,379076,3235,1,"Low"
"214","Albania","AL",20.168331,41.153332,"male",1,282678,3235,5,"Low"
"215","Albania","AL",20.168331,41.153332,"male",5,219360,3235,6,"Low"
"216","Albania","AL",20.168331,41.153332,"male",6,40782,3235,6,"Low"
"217","Albania","AL",20.168331,41.153332,"male",6,42366,3863,6,"High"
"218","Albania","AL",20.168331,41.153332,"male",4,378626,3863,1,"Low"
"219","Albania","AL",20.168331,41.153332,"male",5,224160,3863,6,"Low"
"220","Albania","AL",20.168331,41.153332,"female",6,57404,3863,6,"Low"
"221","Albania","AL",20.168331,41.153332,"male",3,172494,3863,3,"Low"
"222","Albania","AL",20.168331,41.153332,"female",2,281080,3863,5,"Low"
"223","Albania","AL",20.168331,41.153332,"male",2,288349,3863,5,"Low"
"224","Albania","AL",20.168331,41.153332,"female",3,183629,3863,3,"Low"
"225","Albania","AL",20.168331,41.153332,"female",5,221120,3863,6,"Low"
"226","Albania","AL",20.168331,41.153332,"female",4,391811,3863,1,"Low"
"227","Albania","AL",20.168331,41.153332,"male",1,272497,3863,4,"Low"
"228","Albania","AL",20.168331,41.153332,"female",1,256808,3863,4,"Low"
"229","Albania","AL",20.168331,41.153332,"male",3,172855,4672,3,"Low"
"230","Albania","AL",20.168331,41.153332,"male",4,377119,4672,1,"Low"
"231","Albania","AL",20.168331,41.153332,"male",5,228672,4672,6,"Low"
"232","Albania","AL",20.168331,41.153332,"female",6,59369,4672,6,"Low"
"233","Albania","AL",20.168331,41.153332,"female",2,276073,4672,5,"Low"
"234","Albania","AL",20.168331,41.153332,"female",3,182663,4672,3,"Low"
"235","Albania","AL",20.168331,41.153332,"female",4,393832,4672,1,"Low"
"236","Albania","AL",20.168331,41.153332,"male",6,44574,4672,6,"Low"
